candidate_id,region_id,voltage_kv,station_id,candidate_type,existing_capacity_mva,old_capacity_mva,new_capacity_mva,delta_capacity_mva,available_10kv_bays,implementable_status,capex_low_wanyuan,capex_high_wanyuan,capex_center_wanyuan,cost_basis,source_row,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256,eac_low_wanyuan_per_year,eac_center_wanyuan_per_year,eac_high_wanyuan_per_year,annualization_class,discount_rate_base,life_years_base,fixed_om_fraction_base,cost_status
EXP-QX-00001-BDZ-00015-01,QX-00001,110,BDZ-00015,new_third_transformer,100,0,50,50,0,source_candidate,1170,1516,1343,SRC10_exact_50mva_range,231,SRC03:110千伏变电站1+SRC10,电网建模数据_Agent整合版_V1.2,expand station-level discrete count into candidate IDs; third transformer delta equals new rating; annualize source-backed range with explicit contract assumptions,real_2021_2025_cost_library,source_candidate_exact_50_cost;cost_center_and_range_available,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208,74.38546717,131.1424881,179.917029,transformer_measure,0.06,30,0.025,cost_center_and_range_available
EXP-QX-00001-BDZ-00034-01,QX-00001,110,BDZ-00034,new_third_transformer,100,0,50,50,1,source_candidate,1170,1516,1343,SRC10_exact_50mva_range,229,SRC03:110千伏变电站1+SRC10,电网建模数据_Agent整合版_V1.2,expand station-level discrete count into candidate IDs; third transformer delta equals new rating; annualize source-backed range with explicit contract assumptions,real_2021_2025_cost_library,source_candidate_exact_50_cost;cost_center_and_range_available,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208,74.38546717,131.1424881,179.917029,transformer_measure,0.06,30,0.025,cost_center_and_range_available
EXP-QX-00001-BDZ-00046-01,QX-00001,110,BDZ-00046,new_third_transformer,130,0,80,80,3,source_candidate,1872,2425.6,,SRC10_type_matched_scaled_range_no_point_estimate,219,SRC03:110千伏变电站1+SRC10,电网建模数据_Agent整合版_V1.2,expand station-level discrete count into candidate IDs; third transformer delta equals new rating; annualize source-backed range with explicit contract assumptions,real_2021_2025_cost_library,source_candidate_cost_range_only;cost_range_available,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208,119.0167475,,287.8672465,transformer_measure,0.06,30,0.025,cost_range_available
EXP-QX-00001-BDZ-00058-01,QX-00001,110,BDZ-00058,new_third_transformer,70,0,50,50,8,source_candidate,1170,1516,1343,SRC10_exact_50mva_range,237,SRC03:110千伏变电站1+SRC10,电网建模数据_Agent整合版_V1.2,expand station-level discrete count into candidate IDs; third transformer delta equals new rating; annualize source-backed range with explicit contract assumptions,real_2021_2025_cost_library,source_candidate_exact_50_cost;cost_center_and_range_available,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208,74.38546717,131.1424881,179.917029,transformer_measure,0.06,30,0.025,cost_center_and_range_available
EXP-QX-00001-BDZ-00105-01,QX-00001,110,BDZ-00105,new_third_transformer,111.5,0,80,80,1,source_candidate,1872,2425.6,,SRC10_type_matched_scaled_range_no_point_estimate,223,SRC03:110千伏变电站1+SRC10,电网建模数据_Agent整合版_V1.2,expand station-level discrete count into candidate IDs; third transformer delta equals new rating; annualize source-backed range with explicit contract assumptions,real_2021_2025_cost_library,source_candidate_cost_range_only;cost_range_available,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208,119.0167475,,287.8672465,transformer_measure,0.06,30,0.025,cost_range_available
EXP-QX-00001-BDZ-00116-01,QX-00001,110,BDZ-00116,new_third_transformer,100,0,80,80,5,source_candidate,1872,2425.6,,SRC10_type_matched_scaled_range_no_point_estimate,215,SRC03:110千伏变电站1+SRC10,电网建模数据_Agent整合版_V1.2,expand station-level discrete count into candidate IDs; third transformer delta equals new rating; annualize source-backed range with explicit contract assumptions,real_2021_2025_cost_library,source_candidate_cost_range_only;cost_range_available,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208,119.0167475,,287.8672465,transformer_measure,0.06,30,0.025,cost_range_available
EXP-QX-00001-BDZ-00132-01,QX-00001,110,BDZ-00132,new_third_transformer,100,0,50,50,13,source_candidate,1170,1516,1343,SRC10_exact_50mva_range,233,SRC03:110千伏变电站1+SRC10,电网建模数据_Agent整合版_V1.2,expand station-level discrete count into candidate IDs; third transformer delta equals new rating; annualize source-backed range with explicit contract assumptions,real_2021_2025_cost_library,source_candidate_exact_50_cost;cost_center_and_range_available,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208,74.38546717,131.1424881,179.917029,transformer_measure,0.06,30,0.025,cost_center_and_range_available
EXP-QX-00001-BDZ-00165-01,QX-00001,110,BDZ-00165,new_third_transformer,100,0,50,50,3,source_candidate,1170,1516,1343,SRC10_exact_50mva_range,235,SRC03:110千伏变电站1+SRC10,电网建模数据_Agent整合版_V1.2,expand station-level discrete count into candidate IDs; third transformer delta equals new rating; annualize source-backed range with explicit contract assumptions,real_2021_2025_cost_library,source_candidate_exact_50_cost;cost_center_and_range_available,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208,74.38546717,131.1424881,179.917029,transformer_measure,0.06,30,0.025,cost_center_and_range_available
EXP-QX-00001-BDZ-00174-01,QX-00001,110,BDZ-00174,new_third_transformer,100,0,50,50,0,source_candidate,1170,1516,1343,SRC10_exact_50mva_range,217,SRC03:110千伏变电站1+SRC10,电网建模数据_Agent整合版_V1.2,expand station-level discrete count into candidate IDs; third transformer delta equals new rating; annualize source-backed range with explicit contract assumptions,real_2021_2025_cost_library,source_candidate_exact_50_cost;cost_center_and_range_available,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208,74.38546717,131.1424881,179.917029,transformer_measure,0.06,30,0.025,cost_center_and_range_available
EXP-QX-00001-BDZ-00177-01,QX-00001,110,BDZ-00177,new_third_transformer,63,0,50,50,16,source_candidate,1170,1516,1343,SRC10_exact_50mva_range,239,SRC03:110千伏变电站1+SRC10,电网建模数据_Agent整合版_V1.2,expand station-level discrete count into candidate IDs; third transformer delta equals new rating; annualize source-backed range with explicit contract assumptions,real_2021_2025_cost_library,source_candidate_exact_50_cost;cost_center_and_range_available,f0144a48c89031b732d6bcf436b48f1890dc20e353e56bc90c90c3861e09d208,74.38546717,131.1424881,179.917029,transformer_measure,0.06,30,0.025,cost_center_and_range_available
