region_id,voltage_kv,station_id,forward_limit_mw,reverse_limit_mw,annual_max_net_load_mw,annual_min_net_load_mw,positive_gap_mw,reverse_gap_mw,positive_gap,reverse_gap,cos_phi,reverse_beta,operation_modes,unit_count,diagnostic_status
QX-00001,35,BDZ-00249,38.0,19.0,29.42,-24.46,0.0,5.460000000000001,False,True,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,35,BDZ-00252,38.0,19.0,23.54,-8.56,0.0,0.0,False,False,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,35,BDZ-00261,19.474999999999998,7.6,11.4,-9.46,0.0,1.8600000000000012,False,True,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,35,BDZ-00275,38.0,19.0,8.58,0.0,0.0,0.0,False,False,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,35,BDZ-00279,28.5,9.5,11.82,-14.52,0.0,5.02,False,True,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,35,BDZ-00298,28.5,9.5,11.82,-14.52,0.0,5.02,False,True,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,35,BDZ-00299,34.199999999999996,15.2,15.42,-7.74,0.0,0.0,False,False,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,35,BDZ-00321,38.0,19.0,10.46,-15.37,0.0,0.0,False,False,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,110,BDZ-00015,95.0,47.5,20.53,-4.93,0.0,0.0,False,False,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,110,BDZ-00033,85.5,38.0,67.23,-13.79,0.0,0.0,False,False,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,110,BDZ-00034,95.0,47.5,38.96,-23.06,0.0,0.0,False,False,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,110,BDZ-00046,123.5,47.5,98.92,13.41,0.0,0.0,False,False,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,110,BDZ-00058,66.5,19.0,35.08,-25.08,0.0,6.079999999999998,False,True,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,110,BDZ-00072,67.925,29.924999999999997,48.91,-7.08,0.0,0.0,False,False,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,110,BDZ-00105,105.925,29.924999999999994,63.35,-31.14,0.0,1.215000000000007,False,True,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,110,BDZ-00116,95.0,47.5,29.74,-48.09,0.0,0.5900000000000034,False,True,0.95,0.8,unknown,2.0,station_operation_mode_aligned
QX-00001,110,BDZ-00117,59.849999999999994,29.924999999999997,25.0,-19.7,0.0,0.0,False,False,0.95,0.8,unknown,2.0,station_operation_mode_aligned
