year,region_id,voltage_kv,evidence_grade,quality_notes,quality_flag,source_ref,source_sha256
2025,QX-00001,35,EVIDENCE_C,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",formal_2025_baseline_with_current_quality_gate,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00003,35,EVIDENCE_C,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",formal_2025_baseline_with_current_quality_gate,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00004,35,EVIDENCE_C,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",formal_2025_baseline_with_current_quality_gate,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00005,35,EVIDENCE_C,"2025 transformer-hour map is not source-owner approved; reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",formal_2025_baseline_with_current_quality_gate,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00007,35,EVIDENCE_C,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",formal_2025_baseline_with_current_quality_gate,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00008,35,EVIDENCE_C,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",formal_2025_baseline_with_current_quality_gate,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00009,35,EVIDENCE_C,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",formal_2025_baseline_with_current_quality_gate,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00010,35,EVIDENCE_C,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",formal_2025_baseline_with_current_quality_gate,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00001,110,EVIDENCE_B,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",formal_2025_baseline_with_current_quality_gate,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
2025,QX-00003,110,EVIDENCE_B,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only",formal_2025_baseline_with_current_quality_gate,近5年容载比.xlsx + county_clr_reference.csv+station_static_load.csv+transformer_master.csv+station_pv_snapshot.csv,05394302be8d2a3290841e5bfe684f2f00a281eee27e25aaf7729fd4227d8e6f
