station_id,zone,x,y,cap_mva
220kV边界,—,2.6,8.0,0.0
S01,Z1,0.15465759997228634,5.4,100.0
S02,Z1,-0.9433542037705818,6.766062589535669,100.0
S03,Z1,0.7886966037982954,7.033937410464332,100.0
S04,Z2,0.5512824780679781,3.132003188763079,100.0
S05,Z2,-1.0,3.6601980453095435,150.0
S06,Z2,0.44871752193202186,2.807798765927378,100.0
S07,Z3,0.29354644850505385,1.0,100.0
S08,Z3,-0.2935464485050538,-1.0,100.0
S09,Z4,4.9064535514949466,3.8,100.0
S10,Z4,5.493546448505054,5.8,100.0
S11,Z5,5.493546448505054,2.6,150.0
S12,Z5,4.9064535514949466,0.6000000000000001,100.0
