level,entity_id,s_dev_max_mw,pv_installed_mw,margin_mw,s_system_mw,s_device_mw,s_final_mw,open_capacity_mw
station,S01,118.08852631578948,20.387,97.70152631578948,,,,
station,S02,111.09852631578947,22.59,88.50852631578947,,,,
station,S03,109.52578947368421,24.047,85.47878947368422,,,,
station,S04,11.888631578947372,147.719,-135.8303684210526,,,,
station,S05,87.19326315789475,47.089,40.10426315789475,,,,
station,S06,50.31052631578948,92.471,-42.16047368421052,,,,
station,S07,68.98421052631579,63.159,5.825210526315793,,,,
station,S08,63.52231578947368,73.672,-10.149684210526317,,,,
station,S09,107.91642105263159,18.329,89.58742105263158,,,,
station,S10,120.59263157894738,17.941,102.65163157894737,,,,
station,S11,88.54063157894738,93.96,-5.41936842105261,,,,
station,S12,74.53094736842105,56.285,18.245947368421056,,,,
county,PZ,,186.515,,183.0353416322063,391.5806315789474,183.0353416322063,0.0
county,XY,,491.134,,481.97131317691344,620.6117894736842,481.97131317691344,0.0
