element_id,snapshot,loading_pct
L_Z1_boundary_S01,5564,177.50828863636363
L_Z2_boundary_S05,5564,184.73333411949685
L_Z3_boundary_S07,5564,174.7219833333333
L_Z4_boundary_S09,5564,185.90607232704397
L_Z5_boundary_S11,5564,200.05612843137249
L_Z1_S02_S01,5564,122.26973460410551
L_Z1_S03_S01,5564,122.42283137829904
L_Z1_Z2_S01_S05_c1,5564,147.45504521674138
L_Z1_Z2_S01_S05_c2,5564,147.45504521674138
L_Z1_Z4_S01_S09_c1,5564,146.52597010463379
L_Z1_Z4_S01_S09_c2,5564,146.52597010463379
L_Z2_S04_S05,5564,134.3138360215053
L_Z2_S06_S05,5564,134.53594892473114
L_Z2_Z3_S05_S07_c1,5564,145.3637046165884
L_Z2_Z3_S05_S07_c2,5564,145.3637046165884
L_Z3_S08_S07,5564,137.803373655914
L_Z4_S10_S09,5564,130.75557795698924
L_Z4_Z5_S09_S11_c1,5564,144.5416647104851
L_Z4_Z5_S09_S11_c2,5564,144.5416647104851
L_Z5_S12_S11,5564,138.22195430107524
X_S01_1,5564,162.3566
X_S01_2,5564,162.3566
X_S02_1,5564,148.896
X_S02_2,5564,148.896
X_S03_1,5564,146.9976
X_S03_2,5564,146.9976
X_S04_1,5564,121.382
X_S04_2,5564,121.382
X_S05_1,5564,33.2874
X_S05_2,5564,33.2874
X_S05_3,5564,33.2874
X_S06_1,5564,118.6278
X_S06_2,5564,118.6278
X_S07_1,5564,108.15460000000002
X_S07_2,5564,108.15460000000002
X_S08_1,5564,117.1676
X_S08_2,5564,117.1676
X_S09_1,5564,130.0
X_S09_2,5564,130.0
X_S10_1,5564,82.7522
X_S10_2,5564,82.7522
X_S11_1,5564,91.1423
X_S11_2,5564,91.1423
X_S11_3,5564,91.1423
X_S12_1,5564,109.382
X_S12_2,5564,109.382
L_Z1_boundary_S01,2461,81.70235733333332
L_Z2_boundary_S05,2461,90.74930896226412
L_Z3_boundary_S07,2461,81.70235733333332
L_Z4_boundary_S09,2461,81.70235733333332
L_Z5_boundary_S11,2461,81.70235733333331
L_Z1_S02_S01,2461,81.70235733333332
L_Z1_S03_S01,2461,81.70235733333332
L_Z1_Z2_S01_S05_c1,2461,81.70235733333332
L_Z1_Z2_S01_S05_c2,2461,81.70235733333332
L_Z1_Z4_S01_S09_c1,2461,81.70235733333335
L_Z1_Z4_S01_S09_c2,2461,81.70235733333335
L_Z2_S04_S05,2461,47.07580933333334
L_Z2_S06_S05,2461,81.70235733333332
L_Z2_Z3_S05_S07_c1,2461,81.70235733333332
L_Z2_Z3_S05_S07_c2,2461,81.70235733333332
L_Z3_S08_S07,2461,81.70235733333335
L_Z4_S10_S09,2461,81.70235733333331
L_Z4_Z5_S09_S11_c1,2461,81.70235733333332
L_Z4_Z5_S09_S11_c2,2461,81.70235733333332
L_Z5_S12_S11,2461,81.70235733333332
X_S01_1,2461,32.8376
X_S01_2,2461,32.8376
X_S02_1,2461,21.7904
X_S02_2,2461,21.7904
X_S03_1,2461,22.283
X_S03_2,2461,22.283
X_S04_1,2461,196.0856576
X_S04_2,2461,196.0856576
X_S05_1,2461,26.320300000000003
X_S05_2,2461,26.320300000000003
X_S05_3,2461,26.320300000000003
X_S06_1,2461,112.9819424
X_S06_2,2461,112.9819424
X_S07_1,2461,60.915600000000005
X_S07_2,2461,60.915600000000005
X_S08_1,2461,77.5672
X_S08_2,2461,77.5672
X_S09_1,2461,24.1336
X_S09_2,2461,24.1336
X_S10_1,2461,18.7819
X_S10_2,2461,18.7819
X_S11_1,2461,43.7993
X_S11_2,2461,43.7993
X_S11_3,2461,43.7993
X_S12_1,2461,50.2368
X_S12_2,2461,50.2368
